@relation 'auto_mpg-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-V-R1,3,8'

@attribute mpg numeric
@attribute displacement numeric
@attribute origin numeric

@data
18,307,1
15,350,1
18,318,1
16,304,1
17,302,1
15,429,1
14,454,1
14,440,1
14,455,1
15,390,1
15,383,1
14,340,1
15,400,1
14,455,1
24,113,3
22,198,1
18,199,1
21,200,1
27,97,3
26,97,2
25,110,2
24,107,2
25,104,2
26,121,2
21,199,1
10,360,1
10,307,1
11,318,1
9,304,1
27,97,3
28,140,1
25,113,3
19,232,1
16,225,1
17,250,1
19,250,1
18,232,1
14,350,1
14,400,1
14,351,1
14,318,1
12,383,1
13,400,1
13,400,1
18,258,1
22,140,1
19,250,1
18,250,1
23,122,1
28,116,2
30,79,2
30,88,2
31,71,3
35,72,3
27,97,2
26,91,1
24,113,3
25,97.5,1
23,97,2
20,140,1
21,122,1
13,350,1
14,400,1
15,318,1
14,351,1
17,304,1
11,429,1
13,350,1
12,350,1
13,400,1
19,70,3
15,304,1
13,307,1
13,302,1
14,318,1
18,121,2
22,121,2
21,120,2
26,96,2
22,122,1
28,97,3
23,120,3
28,98,1
27,97,3
13,350,1
14,304,1
13,350,1
14,302,1
15,318,1
12,429,1
13,400,1
13,351,1
14,318,1
13,440,1
12,455,1
13,360,1
18,225,1
16,250,1
18,232,1
18,250,1
23,198,1
26,97,2
11,400,1
12,400,1
13,360,1
12,350,1
18,232,1
20,97,3
21,140,1
22,108,3
18,70,3
19,122,1
21,155,1
26,98,2
15,350,1
16,400,1
29,68,2
24,116,2
20,114,2
19,121,2
15,318,1
24,121,2
20,156,3
11,350,1
20,198,1
19,232,1
15,250,1
31,79,3
26,122,1
32,71,3
25,140,1
16,250,1
16,258,1
18,225,1
16,302,1
13,350,1
14,318,1
14,302,1
14,304,1
29,98,2
26,79,2
26,97,2
31,76,3
32,83,3
28,90,1
24,90,2
26,116,2
24,120,3
26,108,3
31,79,2
19,225,1
18,250,1
15,250,1
15,250,1
16,400,1
15,350,1
16,318,1
14,351,1
17,231,1
16,250,1
15,258,1
18,225,1
21,231,1
20,262,1
13,302,1
29,97,3
23,140,1
20,232,1
23,140,1
24,134,3
25,90,2
24,119,3
18,171,1
29,90,2
19,232,1
23,115,2
23,120,2
22,121,2
25,121,2
33,91,3
28,107,2
25,116,2
25,140,1
26,98,1
27,101,2
17.5,305,1
16,318,1
15.5,304,1
14.5,351,1
22,225,1
22,250,1
24,200,1
22.5,232,1
29,85,1
24.5,98,1
29,90,2
33,91,3
20,225,1
18,250,1
18.5,250,1
17.5,258,1
29.5,97,2
32,85,3
28,97,3
26.5,140,1
20,130,2
13,318,1
19,120,2
19,156,3
16.5,168,2
16.5,350,1
13,350,1
13,302,1
13,318,1
31.5,98,3
30,111,1
36,79,2
25.5,122,1
33.5,85,3
17.5,305,1
17,260,1
15.5,318,1
15,302,1
17.5,250,1
20.5,231,1
19,225,1
18.5,250,1
16,400,1
15.5,350,1
15.5,400,1
16,351,1
29,97,2
24.5,151,1
26,97,3
25.5,140,1
30.5,98,1
33.5,98,1
30,97,3
30.5,97,2
22,146,3
21.5,121,2
21.5,80,3
43.1,90,2
36.1,98,1
32.8,78,3
39.4,85,3
36.1,91,3
19.9,260,1
19.4,318,1
20.2,302,1
19.2,231,1
20.5,200,1
20.2,200,1
25.1,140,1
20.5,225,1
19.4,232,1
20.6,231,1
20.8,200,1
18.6,225,1
18.1,258,1
19.2,305,1
17.7,231,1
18.1,302,1
17.5,318,1
30,98,1
27.5,134,3
27.2,119,3
30.9,105,1
21.1,134,3
23.2,156,1
23.8,151,1
23.9,119,3
20.3,131,2
17,163,2
21.6,121,2
16.2,163,2
31.5,89,2
29.5,98,3
21.5,231,1
19.8,200,1
22.3,140,1
20.2,232,1
20.6,225,1
17,305,1
17.6,302,1
16.5,351,1
18.2,318,1
16.9,350,1
15.5,351,1
19.2,267,1
18.5,360,1
31.9,89,2
34.1,86,3
35.7,98,1
27.4,121,1
25.4,183,2
23,350,1
27.2,141,2
23.9,260,1
34.2,105,1
34.5,105,1
31.8,85,3
37.3,91,2
28.4,151,1
28.8,173,1
26.8,173,1
33.5,151,1
41.5,98,2
38.1,89,3
32.1,98,1
37.2,86,3
28,151,1
26.4,140,1
24.3,151,1
19.1,225,1
34.3,97,2
29.8,134,3
31.3,120,3
37,119,3
32.2,108,3
46.6,86,3
27.9,156,1
40.8,85,3
44.3,90,2
43.4,90,2
36.4,121,2
30,146,2
44.6,91,3
33.8,97,3
29.8,89,2
32.7,168,3
23.7,70,3
35,122,2
32.4,107,3
27.2,135,1
26.6,151,1
25.8,156,1
23.5,173,1
30,135,1
39.1,79,3
39,86,1
35.1,81,3
32.3,97,3
37,85,3
37.7,89,3
34.1,91,3
34.7,105,1
34.4,98,1
29.9,98,1
33,105,2
33.7,107,3
32.4,108,3
32.9,119,3
31.6,120,3
28.1,141,2
30.7,145,2
25.4,168,3
24.2,146,3
22.4,231,1
26.6,350,1
20.2,200,1
17.6,225,1
28,112,1
27,112,1
34,112,1
31,112,1
29,135,1
27,151,1
24,140,1
36,105,2
37,91,3
31,91,3
38,105,1
36,98,1
36,120,3
36,107,3
34,108,3
38,91,3
32,91,3
38,91,3
25,181,1
38,262,1
26,156,1
22,232,1
32,144,3
36,135,1
27,151,1
27,140,1
44,97,2
32,135,1
28,120,1
31,119,1
